en,pt-br
build,construir
nation,nação
fall,cair
oh,oh
death,morte
plan,plano
interest,interesse
someone,alguém
experience,experiência
cut,cortar
kill,matar
behind,atras do
reach,alcançar
six,seis
local,local
remain,permanecer
effect,efeito
suggest,sugerir
control,ao controle
perhaps,talvez
raise,levantar
class,classe
late,tarde
major,formar-se
yeah,sim
else,senão
pass,passar
photo,foto
sell,vender
themselves,eles mesmos
field,campo
college,faculdade
sometimes,as vezes
former,antigo
development,desenvolvimento
require,exigir
along,ao longo
decide,decidir
security,segurança
possible,possível
effort,esforço
role,Função
better,Melhor
rate,avaliar
strong,Forte
music,música
report,relatório
leader,líder
light,leve
whole,todo
voice,voz
color,cor
heart,coração
care,Cuidado
police,polícia
economic,econômico
wife,esposa
mind,mente
finally,finalmente
drug,medicamento
less,menos
return,Retorna
according,de acordo com
pull,puxar
decision,decisão
explain,explique
carry,carregar
develop,desenvolve
view,Visão
free,gratuitamente
hope,ter esperança
drive,dirigir
son,filho
arm,braço
department,departamento
TRUE,VERDADE
price,preço
military,militares
federal,Federal
break,parar
action,ação
value,valor
thank,obrigado
relationship,relação
town,Cidade
building,prédio
receive,receber
society,sociedade
difference,diferença
church,igreja
full,cheio
join,Junte
road,estrada
international,internacional
model,modelo
position,posição
tax,imposto
director,diretor
agree,aceita
matter,matéria
especially,especialmente
form,Formato
record,registro
special,especial
ground,chão
whose,de quem
hard,duro
pick,escolha
paper,papel
official,oficial
season,estação
wear,vestem
event,evento
support,"Apoio, suporte"
space,espaço
player,jogador
everyone,todos
couple,casal
base,base
project,projeto
produce,produzir
site,local
situation,situação
hit,acertar
industry,indústria
half,metade
activity,atividade
eat,comer
itself,em si
figure,figura
cost,custo
easy,fácil
quite,bastante
picture,foto
clear,Claro
cover,cobrir
describe,descrever
image,imagem
teach,Ensinar
wall,muro
doctor,médico
recent,recente
product,produtos
data,dados
practice,prática
phone,telefone
piece,peça
certain,certo
either,qualquer
oil,óleo
simply,simplesmente
test,teste
personal,pessoal
star,Estrela
land,terra
third,terceiro
general,em geral
computer,computador
movie,filme
worker,trabalhador
catch,truque
type,modelo
north,norte
step,degrau
attention,atenção
technology,tecnologia
organization,organização
baby,bebê
source,fonte
draw,empate
cause,causa
tree,árvore
film,filme
choose,escolher
evidence,evidência
Republican,Republicano
difficult,difícil
century,século
nearly,por pouco
red,vermelho
window,janela
park,parque
period,período
culture,cultura
hair,cabelo
listen,ouço
chance,chance
available,acessível
brother,irmão
summer,verão
realize,entender
private,privado
science,Ciência
letter,carta
congress,Congresso
condition,doença
short,curto
likely,provável
opportunity,oportunidade
rule,regra
choice,escolha
single,solteiro
patient,paciente
floor,piso
term,prazo
material,material
mile,milha
administration,administração
course,curso
defense,defesa
plant,plantar
energy,energia
campaign,campanha
population,população
fire,incêndio
close,perto
daughter,filha
involve,envolver
husband,esposo
wrong,errado
certainly,certamente
increase,aumentar
future,futuro
south,sul
medical,médico
board,quadro
anyone,alguém
deal,acordo
hospital,hospital
rest,descanso
seek,procurar
myself,Eu mesmo
county,município
fight,lutar
subject,sujeito
risk,risco
order,ordem
west,Oeste
economy,economia
quickly,rapidamente
throw,lançar
bed,cama
officer,Policial
represent,representar
soon,em breve
top,topo
fill,encher
author,autor
past,passado
upon,sobre
goal,meta
behavior,comportamento
drop,derrubar
nature,natureza
agency,agência
recently,recentemente
store,armazenar
foreign,estrangeiro
current,atual
performance,atuação
bank,banco
sound,som
push,Empurre
focus,foco
reduce,reduzir
note,Nota
fine,multar
near,aproximar
movement,movimento
common,comum
billion,bilhão
blood,sangue
page,página
concern,interesse
poor,pobre
enter,digitar
share,compartilhar
series,Series
usually,usualmente
natural,natural
hot,quente
race,corrida
language,Língua
river,rio
dead,morto
act,Aja
significant,significativo
response,resposta
rise,subir
decade,década
article,artigo
thus,portanto
seven,Sete
shoot,atirar
east,leste
animal,animal
similar,semelhante
save,Salve 
factor,fator
central,central
occur,ocorrer
committee,Comitê
serious,sério
sport,esporte
lie,mentira
beyond,além
exactly,exatamente
despite,apesar de
happy,feliz
eight,oito
protect,proteger
list,Lista
size,Tamanho
quality,qualidade
pressure,pressão
accept,aceitar
ready,pronto
approach,abordagem
sign,sinal
attack,ataque
individual,Individual
career,carreira
answer,responda
dog,cão
media,meios de comunicação
thought,pensamento
whatever,qualquer que seja
determine,determinar
television,televisão
meeting,encontro
scene,cena
success,sucesso
prepare,preparar
identify,identificar
press,pressione
particularly,particularmente
resource,recurso
amount,quantia
argue,argumentar
recognize,reconhecer
treatment,tratamento
left,deixei
degree,grau
stock,estoque
indicate,indicar
growth,crescimento
simple,simples
ability,habilidade
dollar,dólar
union,União
disease,doença
everybody,todo o mundo
wonder,maravilha
election,eleição
loss,perda
box,caixa
herself,ela própria
fund,fundo
miss,senhorita
pretty,bonito
region,região
feeling,sentimento
lay,colocar
training,Treinamento
message,mensagem
arrive,chegar
standard,padrão
outside,fora
fail,falhou
trade,troca
staff,funcionários
benefit,beneficiar
character,personagem
army,exército
association,Associação
operation,Operação
present,presente
crime,crime
cup,copo
island,ilha
analysis,análise
check,Verifica
photograph,fotografia
glass,vidro
forward,frente
authority,autoridade
earth,terra
stage,palco
sort,ordenar
station,estação
clearly,claramente
compare,comparar
indeed,na verdade
knowledge,conhecimento
blue,azul
example,exemplo
strategy,estratégia
mountain,montanha
guess,acho
sister,irmã
gun,arma de fogo
various,vários
laugh,riso
environment,meio Ambiente
design,Projeto
sun,Sol
lawyer,advogado
sex,sexo
rather,em vez de
artist,artista
club,clube
prove,provar
section,seção
skill,habilidade
truth,verdade
ok,OK
manager,Gerente
executive,executivo
district,distrito
claim,alegar
forget,esquecer
hang,pendurar
entire,inteira
leg,perna
environmental,de Meio Ambiente
establish,estabelecer
democratic,democrático
remove,remover
main,a Principal
professor,professor
financial,financeiro
enjoy,desfrutar
network,rede
discuss,discutir
final,final
trial,tentativas
legal,jurídico
cold,resfriado
above,acima de
rock,Rocha
seat,assento
weapon,arma
song,música
expert,especialista
radio,rádio
nice,legais
avoid,evitar
memory,memória
management,gestão
charge,carregar
spring,primavera
card,cartão
maintain,manter
theory,teoria
visit,Visita
imagine,Imagine
finish,Finalizar
statement,declaração
firm,empresa
huge,enorme
respond,responder
popular,popular
physical,fisica
traditional,tradicional
contain,conter
peace,Paz
green,verde
thanks,obrigado
Democrat,Democrata
impact,impacto
structure,estrutura
tonight,esta noite
direction,direção
fly,voe
onto,para
king,rei
reveal,revelar
cell,célula
religious,religioso
ball,bola
particular,especial
employee,empregado
suddenly,De repente
apply,Aplique
shake,sacudir
cultural,cultural
chair,cadeira
PM,PM
justice,justiça
discover,descobrir
measure,a medida
politics,política
manage,gerir
treat,tratar
yourself,você mesma
pain,dor
evening,tarde
unit,unidade
affect,afetar
production,Produção
bit,pedaço
inside,lado de dentro
range,variar
worry,preocupar
perform,executar
necessary,necessário
conference,conferência
candidate,candidato
museum,museu
specific,específico
throughout,por todo
hall,corredor
fish,peixe
trip,viagem
mention,menção
edge,borda
trouble,problema
interview,entrevista
style,estilo
middle,meio
ten,dez
weight,peso
adult,adulto
dream,Sonhe
fear,temer
dark,Sombrio
method,método
somebody,alguém
magazine,revista
reflect,refletir
heavy,pesado
soldier,soldado
property,propriedade
beautiful,lindo
writer,escritor
stuff,material
camera,Câmera
improve,melhorar
shoulder,ombro
bar,bar
hotel,hotel
instead,em vez de
hill,colina
exist,existir
sea,mar
institution,instituição
purpose,propósito
pattern,padronizar
detail,detalhe
machine,máquina
challenge,desafio
owner,proprietário
agent,agente
tough,difícil
ahead,à frente
generation,geração
commercial,comercial
whom,o qual
surface,superfície
budget,orçamento
senator,senador
bag,sacola
reality,realidade
editor,editor
tend,tratar
address,Morada
civil,Civil
discussion,discussão
mom,mamãe
violence,violência
total,total
skin,pele
heat,aquecer
council,conselho
notice,perceber
beat,bater
nor,nem
modern,moderno
vote,voto
sing,canta
cancer,Câncer
finger,dedo
lake,lago
wish,desejar
marriage,casado
victim,vítima
task,tarefa
yard,Jardim
kitchen,cozinha
item,item
responsibility,responsabilidade
mouth,boca
agreement,acordo
attorney,advogado
capital,capital
threat,ameaça
smile,sorriso
gas,gás
positive,positivo
track,acompanhar
investment,investimento
account,conta
rich,rico
citizen,cidadão
audience,público
lady,senhora
dinner,jantar
western,ocidental
debate,debate
consumer,consumidor
majority,maioria
interesting,interessante
prevent,evita
travel,viagem
born,nascido
relate,relacionar
assume,presumir
none,Nenhum
admit,Admitem
front,frente
coach,treinador
partner,parceiro
shot,tomada
scientist,cientista
senior,Senior
suffer,Sofra
alone,sozinho
collection,coleção
successful,bem sucedido
speech,Fala
eventually,eventualmente
key,chave
mission,missão
score,pontuação
newspaper,jornal
wind,vento
reform,reforma
concerned,preocupado
professional,profissional
relation,relação
troops,tropas
garden,jardim
access,Acesso
publish,publicar
recall,lembrar
Soviet,Soviético
southern,sulista
senate,senado
opinion,opinião
option,opção
judge,juiz
original,original
customer,cliente
critical,crítico
corner,canto
basic,básico
income,renda
directly,diretamente
release,liberar
restaurant,restaurante
neighborhood,vizinhança
effective,eficaz
labor,trabalho
nobody,ninguém
stare,olhar fixamente
immediately,imediatamente
achieve,alcançar
forest,floresta
dad,Papai
hurt,ferir
video,vídeo
strike,ataque
safety,segurança
absolutely,absolutamente
therefore,Portanto
freedom,liberdade
version,versão
plane,avião
attitude,atitude
sexual,sexual
refer,referir
fresh,fresco
involved,envolvido
powerful,poderoso
bird,pássaro
touch,toque
variety,variedade
deep,profundo
text,texto
wide,largo
credit,crédito
nine,nove
sleep,dorme
investigation,investigação
announce,anunciar
completely,completamente
conduct,conduta
conflict,conflito
replace,substituir
attend,participar
participant,participante
argument,argumento
object,objeto
please,por favor
nuclear,nuclear
sky,céu
afternoon,tarde
hundred,centenas
encourage,encorajar
perfect,perfeito
possibility,possibilidade
British,Britânico
examine,examinar
conversation,conversação
generally,geralmente
beginning,começo
secretary,secretário
beach,de praia
safe,seguro
spirit,espírito
weekend,fim de semana
date,encontro
define,definir
feature,característica
global,global
element,elemento
attempt,tentar
slowly,devagar
governor,governador
concept,conceito
sorry,desculpe
easily,facilmente
battle,batalha
league,liga
camp,acampamento
introduce,introduzir
status,status
insurance,seguro
complete,completo
stick,grudar
solution,solução
web,rede
vision,visão
stone,pedra
lack,falta
driver,condutor
normal,normal
truck,caminhão
minister,ministro
handle,lidar com
hole,buraco
fan,fã
spot,ver
crisis,crise
supposed,suposto
refuse,recusar
drink,beber
researcher,investigador
tradition,tradição
communication,comunicação
distance,distância
ship,navio
gain,ganho
express,expressar
independent,independente
ice,gelo
scale,escala
brain,cérebro
winter,inverno
commission,comissão
wood,madeira
division,divisão
species,espécies
AM,SOU
roll,lista
hide,ocultar
client,cliente
resident,residente
contract,contrato
gold,ouro
potential,potencial
presence,presença
institute,instituto
screen,tela
Chinese,chinês
horse,cavalo
European,europeu
target,alvo
willing,disposto
survey,pesquisa
interested,interessado
chief,chefe
crowd,multidão
prison,prisão
terms,termos
obviously,obviamente
basis,base
apartment,apartamento
farm,Fazenda
flight,voar
shape,forma
demand,exigem
strength,força
village,Vila
operate,operar
reporter,repórter
guard,guarda
observe,observar
deliver,entregar
count,contar
advantage,vantagem
wild,selvagem
previous,anterior
average,média
emerge,emerge
contribute,contribuir
leadership,Liderança
boat,barco
facility,instalação
earn,ganhar
highly,altamente
vehicle,veículo
pound,libra
tiny,minúsculo
understanding,compreensão
settle,resolver
unless,a não ser que
tomorrow,amanhã
foundation,Fundação
quick,rápido
block,quadra
reader,leitor
collect,coletar
guest,convidado
living,vivo
tool,ferramenta
protection,proteção
fair,feira
additional,adicional
promote,promover
equipment,equipamento
mostly,majoritariamente
painting,quadro
feed,alimentação
principle,princípio
bowl,tigela
technique,técnica
limit,limite
identity,identidade
title,título
critic,crítico
survive,sobreviver
cry,choro
border,fronteira
lift,levantar
path,caminho
aspect,aspecto
marry,casar
shop,fazer compras
failure,falha
ride,passeio
responsible,responsável
gather,reunir
jump,pular
sample,amostra
affair,caso
worth,que vale a pena
fit,em forma
chairman,presidente
lesson,lição
Christmas,Natal
insist,insistir
anybody,qualquer pessoa
folk,folk
band,banda
ear,orelha
procedure,procedimento
associate,associado
inch,polegada
warm,caloroso
African,africano
French,Francês
baseball,beisebol
demonstrate,demonstrar
foot,pé
Christian,cristão
competition,concorrência
afraid,com medo
spread,espalhar
ignore,ignorar
soft,suave
annual,anual
wonderful,Maravilhoso
threaten,ameaçar
commit,comprometer-se
deny,negar
intelligence,inteligência
regular,regular
influence,influência
reaction,reação
cross,Cruz
master,mestre
suit,Traje
blow,golpe
destroy,destruir
gift,Presente
coffee,café
anyway,de qualquer forma
belief,crença
comment,Comente
apparently,aparentemente
twice,duas vezes
background,fundo
quarter,trimestre
review,Reveja
faith,fé
speed,Rapidez
engage,se empenhar
broad,largo
perspective,perspectiva
slightly,um pouco
growing,crescendo
function,função
construction,construção
egg,ovo
wave,aceno
female,fêmea
murder,assassinato
tape,fita
burn,queimar
means,significa
aware,consciente
mistake,erro
quiet,tranquilo
connection,conexão
shoe,sapato
clothes,roupas
promise,promessa
religion,religião
united,Unidos
context,contexto
active,ativo
youth,juventude
location,localização
neighbor,vizinho
dress,vestir
Internet,Internet
category,categoria
dangerous,perigoso
extend,ampliar
combine,combinar
coast,costa
relatively,relativamente
bus,ônibus
hey,Ei
following,Segue
depend,depender
hell,inferno
bone,osso
cook,cozinheiro
direct,direto
native,nativo
cool,legal
remind,lembrar
historical,histórico
moral,moral
voter,eleitor
appropriate,apropriado
famous,famoso
hire,contratar
victory,vitória
contact,contato
fully,totalmente
negative,negativo
medicine,medicamento
participate,participar
grade,avaliar
eastern,Oriental
supply,fornecer
yesterday,ontem
familiar,familiar
democracy,democracia
pair,par
healthy,saudável
tie,gravata
birth,nascimento
progress,progresso
damage,dano
exchange,intercâmbio
bottom,fundo
daily,diário
document,documento
grand,grande
journal,Diário
knee,joelho
primary,Primário
otherwise,por outro lado
train,Comboio
grab,agarrar
circle,círculo
lean,magro
wine,vinho
minority,minoria
flower,flor
device,dispositivo
Iraqi,iraquiano
plate,prato
clean,limpar
alive,vivo
actor,ator
hate,odiar
expression,expressão
below,abaixo de
bright,brilhante
tour,Tour
finding,encontrando
exercise,exercício
plastic,plástico
danger,perigo
neck,pescoço
valley,vale
academic,acadêmico
application,inscrição
intend,pretende
male,macho
tall,alta
shut,fechar
lots,grande quantidade
Indian,indiano
respect,respeito
colleague,colega
writing,escrita
rain,chuva
fast,velozes
football,futebol
welcome,Bem-vindo
domestic,doméstico
pool,piscina
literature,literatura
extra,extra
northern,norte
desire,desejo
corporate,corporativo
session,sessão
supreme,supremo
studio,estúdio
Russian,russo
nod,aceno com a cabeça
learning,Aprendendo
climb,escalar
importance,importância
somewhere,em algum lugar
expand,expandir
fourth,quarto
dry,seco
disappear,desaparecer
abuse,Abuso
chicken,frango
obtain,obtivermos
map,mapa
carefully,com cuidado
increasingly,cada vez mais
greatest,o melhor
complex,complexo
metal,metal
jury,júri
sweet,doce
proposal,proposta
impossible,impossível
scientific,científico
ticket,bilhete
leaf,folha
classroom,Sala de aula
surround,cercada
lunch,almoço
meaning,significado
injury,prejuízo
invite,convidar
enemy,inimigo
repeat,repetir
bear,urso
lip,lábio
mayor,prefeito
award,prêmio
commitment,compromisso
consequence,consequência
instruction,instrução
surprise,surpresa
poll,votação
favorite,favorito
explore,explorar
predict,prever
adopt,adotar
sight,visão
storm,tempestade
assessment,avaliação
weather,tempo
pocket,bolso
aid,ajuda
reading,leitura
thin,fino
soul,alma
strange,estranho
married,casado
organize,organizar
conclusion,conclusão
fuel,combustível
urban,urbano
belong,pertencer
salt,sal
farmer,agricultor
straight,direto
advice,adendo
balance,Saldo
temperature,temperatura
empty,vazio
conclude,concluir
somehow,de alguma forma
presidential,presidencial
prime,melhor
breast,seios
desk,mesa
breath,respiração
theater,teatro
acknowledge,reconhecer
theme,tema
fat,gordo
software,Programas
sugar,açúcar
educational,educacional
thousand,mil
code,código
connect,conectar
yellow,amarelo
instrument,instrumento
Japanese,japonês
panel,painel
library,biblioteca
expensive,caro
emotional,emocional
engine,motor
propose,propor
mental,mental
difficulty,dificuldade
brown,Castanho
basically,basicamente
ring,anel
mark,marca
locate,localizar
search,procurar
largely,largamente
possibly,possivelmente
anymore,não mais
generate,gerar
regional,regional
obvious,óbvio
angry,Bravo
analyst,analista
accident,acidente
trend,tendência
appearance,aparência
currently,atualmente
shadow,sombra
being,ser
moon,lua
bridge,ponte
recommend,recomendar
hearing,audição
fruit,fruta
dance,dança
shift,mudança
comfortable,confortável
struggle,luta
revenue,receita
notion,noção
okay,ok
package,pacote
ought,deveria
traffic,tráfego
internal,interno
prefer,preferir
crew,equipe técnica
profit,lucro
regulation,regulamento
link,link
thinking,pensamento
hardly,dificilmente
airport,aeroporto
extremely,extremamente
sick,doente
capture,capturar
unique,único
actual,real
chest,peito
meal,refeição
beauty,beleza
extent,extensão
defend,defender
visitor,Visitante
dozen,dúzia
declare,declarar
emergency,emergência
ad,de Anúncios
truly,verdadeiramente
planet,planeta
select,Selecione
ethnic,étnico
nose,nariz
loan,empréstimo
cash,dinheiro
contribution,contribuição
slow,lento
contrast,contraste
bottle,garrafa
launch,lançar
novel,novela
duty,dever
root,raiz
content,contente
component,componente
appreciate,apreciar
circumstance,circunstância
teaching,ensino
paint,pintar
thick,espesso
cat,gato
neither,nenhum
ourselves,nós mesmos
correct,correto
warn,avisar
capacity,capacidade
convention,convenção
politician,político
pursue,perseguir
setting,contexto
zone,zona
pilot,piloto
ensure,garantir
ultimately,em última análise
wake,acordar
shirt,camisa
guide,guia
AIDS,AUXILIA
mix,misturar
slip,escorregar
steal,roubar
frequently,freqüentemente
blame,culpa
sheet,Folha
estimate,estimativa
relief,alívio
combination,combinação
investor,investidor
due,vencimento
silence,silêncio
manner,maneiras
muscle,músculo
branch,ramo
chain,corrente
telephone,Telefone
investigate,investigar
German,Alemão
percentage,percentagem
outcome,resultado
estate,Estado
forth,adiante
stress,estresse
equal,igual
English,Inglês
welfare,bem-estar
typical,típica
crazy,louco
except,exceto
funny,engraçado
meat,eu no
appeal,apelo
long-term,longo prazo
eliminate,eliminar
used,usado
motion,movimento
complain,reclamar
row,fileira
Jewish,judaico
kick,chute
snow,neve
producer,produtor
solve,resolver
opposition,oposição
basketball,basquetebol
rely,confiar
conservative,conservador
trust,Confiar em
mirror,espelho
tank,tanque
significantly,significativamente
somewhat,um pouco
attract,atrai
anywhere,qualquer lugar
regime,regime
fix,fixar
entirely,inteiramente
afford,proporcionar
length,comprimento
secret,segredo
pleasure,prazer
file,Arquivo
tooth,dente
confirm,confirme
separate,separado
golden,dourado
meanwhile,Enquanto isso
channel,canal
bedroom,quarto
requirement,requerimento
ancient,antigo
coverage,cobertura
trail,trilha
host,hospedeiro
surgery,cirurgia
perception,percepção
rare,cru
era,era
grant,conceder
ocean,oceano
seriously,a sério
confidence,confiança
aside,"a parte, de lado"
tear,rasgar
judgment,julgamento
industrial,industrial
expectation,expectativa
resolution,resolução
copy,cópia de
wing,asa
doubt,dúvida
fun,Diversão
totally,totalmente
pour,derramar
gender,Gênero sexual
surprised,surpreso
beer,Cerveja
bond,ligação
plus,mais
debt,dívida
smart,inteligente
terrible,Terrível
witness,testemunha
reference,referência
vice,vício
hero,herói
bomb,bombear
rating,Avaliação
busy,ocupado
cite,citar
corporation,corporação
representative,representante
everywhere,em toda parte
soil,solo
highway,autoestrada
frame,quadro
stretch,esticar
oppose,opor
Catholic,católico
cloud,nuvem
initial,inicial
variable,variável
essential,essencial
improvement,melhoria
opening,abertura
necessarily,necessariamente
nurse,enfermeira
incident,incidente
abortion,aborto
divide,dividir
aim,mirar
tired,cansado
careful,cuidadoso
cheap,barato
beside,ao lado
apart,separado
criminal,Criminoso
employ,empregar
rush,correr
user,do utilizador
upper,superior
winner,vencedora
fashion,moda
tip,gorjeta
apple,maçã
vast,grande
specifically,especificamente
limited,limitado
enormous,enorme
holiday,feriado
e-mail,o email
emphasize,enfatizar
merely,apenas
core,essencial
match,Combine
landscape,paisagem
overall,No geral
golf,golfe
virtually,virtualmente
route,rota
flow,fluxo
fewer,menos
cable,cabo
gate,portão
proud,orgulhoso
dish,prato
beneath,abaixo
increased,aumentou
succeed,ter sucesso
barely,por muito pouco
narrow,estreito
solid,sólido
contemporary,contemporâneo
accuse,acusar
unfortunately,infelizmente
useful,útil
noise,ruído
expose,expor
mass,massa
multiple,múltiplo
vegetable,vegetal
seed,semente
reject,rejeitar
decline,declínio
experiment,experimentar
legislation,legislação
hat,chapéu
massive,enorme
grass,Relva
definitely,definitivamente
closer,mais próximo
liberal,liberal
stir,mexer
captain,capitão
revolution,revolução
typically,tipicamente
sector,setor
approve,aprovar
uncle,tio
volume,volume
explanation,explicação
sentence,frase
escape,escapar
unusual,incomum
distribution,distribuição
rural,rural
cast,elenco
household,doméstico
celebrate,comemoro
taste,gosto
characteristic,característica
addition,Adição
acquire,adquirir
closely,de perto
proper,apropriado
tone,tom
topic,tema
towards,em direção
waste,desperdício
wheel,roda
athlete,atleta
convince,convencer
alternative,alternativo
pepper,pimenta
cream,creme
technical,técnico
square,quadrado
plenty,bastante
invest,investir
regard,que diz respeito
intervention,intervenção
illegal,ilegal
lower,mais baixo
compete,competir
talent,talento
guilty,culpado
milk,leite
height,altura
assistance,assistência
personality,personalidade
Israeli,israelense
gay,gay
forever,para todo sempre
assess,avaliar
weak,fraco
cigarette,cigarro
permit,permitir
passenger,passageiro
criticism,crítica
twenty,vinte
honor,honra
creative,criativo
knock,bater
display,exibição
campus,campus
definition,definição
gray,cinzento
signal,sinal
warning,aviso
physician,médico
column,coluna
interaction,interação
dramatic,dramático
republic,república
primarily,principalmente
priority,prioridade
achievement,conquista
request,solicitar
wrap,enrolar
engineer,engenheiro
rice,arroz
scholar,estudioso
airline,CIA aérea
expense,despesa
observation,observação
gap,Gap = Vão
agenda,agenda
creation,criação
drag,arrastar
suspect,suspeito
fishing,pescaria
bread,pão
hi,Oi
unable,impossível
scream,gritar
journalist,jornalista
constitution,constituição
lucky,afortunado
excellent,excelente
payment,Forma de pagamento
selection,seleção
lab,laboratório
arrest,prender prisão
deeply,profundamente
sad,triste
childhood,infância
suppose,suponha
fairly,com justiça
prosecutor,promotor
violent,violento
recover,recuperar
roof,cobertura
amendment,alteração
emotion,emoção
existing,existir
graduate,diplomado
factory,fábrica
schedule,cronograma
avenue,Avenida
spiritual,espiritual
wash,lavagem
planning,planejamento
self,auto
shout,gritar
silent,silencioso
brief,apresentação
error,erro
widely,largamente
description,Descrição
immediate,imediato
purchase,comprar
leading,conduzindo
funding,financiamento
settlement,povoado
prayer,oração
initiative,iniciativa
coalition,aliança
comparison,comparação
portion,parte
opponent,oponente
tension,tensão
chapter,capítulo
bother,irmão
curriculum,currículo
consist,consiste
immigrant,imigrante
enable,permitir
faculty,Faculdade
steel,aço
desert,deserto
asset,de ativos
housing,habitação
transform,transformar
regarding,em relação a
perceive,perceber
depression,depressão
inform,informar
formal,formal
abandon,abandono
chip,lasca
double,em dobro
remaining,remanescente
existence,existência
cheese,queijo
joint,articulação
savings,poupança
preserve,preservar
diet,dieta
territory,território
tea,chá
bend,dobrar
arrange,arranjo
resolve,resolver
passage,passagem
lock,trancar
resistance,resistência
stream,fluxo
